Date_Time,Climate Temperature (˚F),Climate Humidity (%Rh),Light Bench 1 Final State (%),Light Bench 2 Final State (%),Light Bench 3 Final State (%),Shade Roof Current Timed Position (%),PAD Vent Shutter Current Timed Position (%),Exhaust Fans VFD Current Timed Position (%),PPF (micromol/s),DLI (mol/m^2*d),CO2 Reading
20-11-01 02:00:00,63.6,29.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:05:00,63.6,29.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:10:00,63.6,29.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:15:00,63.3,30,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:20:00,63.3,30.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:25:00,63.4,30.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:30:00,63.4,30.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:35:00,63.5,30.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:40:00,63.6,30.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:45:00,63.4,30.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:50:00,63.3,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 02:55:00,63.5,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:00:00,63.5,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:05:00,63.6,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:10:00,63.7,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:15:00,63.4,30.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:20:00,63.7,30.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:25:00,63.8,30.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:30:00,63.4,30.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:35:00,63.7,30.9,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:40:00,63.8,30.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:45:00,63.6,30.9,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:50:00,63.5,31.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 03:55:00,63.5,31.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:00:00,63.4,31.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:05:00,63.4,31.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:10:00,63.3,31.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:15:00,63.4,31.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:20:00,63.4,31.9,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:25:00,63.5,32,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:30:00,63.4,32.1,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:35:00,63.3,32.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:40:00,63.6,32.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:45:00,63.5,32.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:50:00,63.5,32.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 04:55:00,63.6,32.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:00:00,63.5,32.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:05:00,63.4,32.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:10:00,63.5,32.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:15:00,63.5,32.8,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:20:00,63.5,33,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:25:00,63.5,33.1,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:30:00,63.5,33.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:35:00,63.5,33.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:40:00,63.5,33.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:45:00,63.5,33.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:50:00,63.5,33.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 05:55:00,63.6,33.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:00:00,63.6,33.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:05:00,63.6,33.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:10:00,63.9,33.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:15:00,64.3,33.5,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:20:00,64.5,33.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:25:00,65,33.2,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:30:00,65.4,33,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:35:00,65.9,32.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:40:00,66.4,32.3,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:45:00,66.7,32,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:50:00,67.2,31.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 06:55:00,67.9,31.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:00:00,68.4,30.9,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:05:00,68.9,30.6,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:10:00,69.4,30.4,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:15:00,69.9,30.1,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:20:00,70.5,29.7,100,100,100,100,0,0,NaN,NaN,NaN
20-11-01 07:25:00,71.1,29.4,100,100,100,100,0,0,NaN,NaN,NaN
