Date_Time,Climate Temperature (˚F),Climate Humidity (%Rh),Light Bench 1 Final State (%),Light Bench 2 Final State (%),Light Bench 3 Final State (%),Shade Roof Current Timed Position (%),PAD Vent Shutter Current Timed Position (%),Exhaust Fans VFD Current Timed Position (%),PPF (micromol/s),DLI (mol/m^2*d),CO2 Reading (ppm)
20-11-01 02:00:00,67.8,26.8,100,100,100,0,0,0,313.0506393,23.30517377,NaN
20-11-01 02:05:00,68,26.7,100,100,100,0,0,0,311.8156667,23.3857,NaN
20-11-01 02:10:00,68.2,26.6,100,100,100,0,15.83,7.55,313.169459,23.46634262,NaN
20-11-01 02:15:00,67.2,26.9,100,100,100,0,100,10.78,313.5040328,23.54764098,NaN
20-11-01 02:20:00,67,27.6,100,100,100,0,38.83,0,312.9974426,23.62853934,NaN
20-11-01 02:25:00,67.5,27.4,100,100,100,0,0,0,313.0846885,23.70937705,NaN
20-11-01 02:30:00,67.9,27.1,100,100,100,0,0,0,313.0333115,23.79063607,NaN
20-11-01 02:35:00,68.1,26.9,100,100,100,0,0,0,312.8145246,23.87163443,NaN
20-11-01 02:40:00,68.1,26.9,100,100,100,0,0,0,312.2251311,23.95226557,NaN
20-11-01 02:45:00,68,26.8,100,100,100,0,63.83,16.66,313.4097333,24.03379333,NaN
20-11-01 02:50:00,67,27.5,100,100,100,0,88.17,0,0.043464947,24.0896,NaN
20-11-01 02:55:00,67.4,27.7,100,100,100,0,0,0,0.041004667,24.0897,NaN
20-11-01 03:00:00,67.9,27.5,100,100,100,0,0,0,0,24.0897,NaN
20-11-01 03:05:00,68.2,27.2,100,100,100,0,0,0.03,0,24.0897,NaN
20-11-01 03:10:00,67.9,27.1,100,100,100,0,78.5,18.64,0,24.0897,NaN
20-11-01 03:15:00,66.9,27.9,100,100,100,0,76.17,0,0,24.0897,NaN
20-11-01 03:20:00,67.6,27.8,100,100,100,0,0,0,0.020502333,24.0897,NaN
20-11-01 03:25:00,68.2,27.6,100,100,100,0,31.83,13.58,0,24.0897,NaN
20-11-01 03:30:00,67.1,27.8,100,100,100,0,100,4.92,0.121804121,24.08974754,NaN
20-11-01 03:35:00,67.7,28,100,100,100,0,22.83,0,0.056465443,24.0898,NaN
20-11-01 03:40:00,68.1,27.8,100,100,100,0,5.17,3.77,0.061305338,24.0898,NaN
20-11-01 03:45:00,67.4,27.9,100,100,100,0,100,14.87,0.032265967,24.0898,NaN
20-11-01 03:50:00,67.2,28.6,63,63,64,0,49.5,0,0.027426072,24.0898,NaN
20-11-01 03:55:00,66.9,28.6,0,0,0,0,0,0,0.022586177,24.0898,NaN
20-11-01 04:00:00,65.6,29.1,0,0,0,0,0,0,0.120997541,24.0898,NaN
20-11-01 04:05:00,64.6,29.9,0,0,0,0,0,0,0,24.0898,NaN
20-11-01 04:10:00,63.8,30.5,0,0,0,0,0,0,0,24.0898082,NaN
20-11-01 04:15:00,63.4,31.2,0,0,0,0,0,0,0.097591107,24.0899,NaN
20-11-01 04:20:00,63.3,31.4,0,0,0,0,0,0,0.100024505,24.0899,NaN
20-11-01 04:25:00,63.1,31.7,0,0,0,0,0,0,0.004033246,24.0899,NaN
20-11-01 04:30:00,63,31.9,0,0,0,0,0,0,0,24.0899,NaN
20-11-01 04:35:00,62.8,32.1,0,0,0,0,0,0,0.008873141,24.0899,NaN
20-11-01 04:40:00,62.5,32.4,0,0,0,0,0,0,0,24.0899,NaN
20-11-01 04:45:00,62.4,32.7,0,0,0,0,0,0,0,24.0899,NaN
20-11-01 04:50:00,62.7,32.6,0,0,0,0,0,0,0.0984112,24.09,NaN
20-11-01 04:55:00,62.8,32.6,0,0,0,0,0,0,0.030652669,24.09,NaN
20-11-01 05:00:00,62.7,32.7,0,0,0,0,0,0,0.084698279,24.09,NaN
20-11-01 05:05:00,62.6,32.9,0,0,0,0,0,0,0.025812774,24.09,NaN
20-11-01 05:10:00,62.9,32.9,0,0,0,0,0,0,0.0984112,24.09,NaN
20-11-01 05:15:00,63.3,32.7,0,0,0,0,0,0,0,24.09,NaN
20-11-01 05:20:00,63.3,32.6,0,0,0,0,0,0,0,24.09,NaN
20-11-01 05:25:00,63,32.8,0,0,0,0,0,0,0,24.09,NaN
20-11-01 05:30:00,63,33,0,0,0,0,0,0,0.0984112,24.0901,NaN
20-11-01 05:35:00,63.3,33,0,0,0,0,0,0,0,24.0901,NaN
20-11-01 05:40:00,63.4,32.9,0,0,0,0,0,0,0.058226627,24.0901,NaN
20-11-01 05:45:00,63.4,32.9,0,0,0,0,0,0,0,24.0901,NaN
